Class Suffix,Contributor,Label,Parent,Definition
PMD_0001010,,wear testing process,mechanical property analyzing process,"A mechanical property analyzing process that evaluates the resistance of a material to wear and abrasion, simulating real-life conditions of friction."
IAO_0000300,,textual entity,information content entity,"A textual entity is a part of a manifestation (FRBR sense), a generically dependent continuant whose concretizations are patterns of glyphs intended to be interpreted as words, formulas, etc."
PMD_0000866,,multiscale simulation,simulation process,A simulation process that integrates models at different scales to study a system's behavior.
BFO_0000027,,object aggregate,material entity,(Elucidation) An object aggregate is a material entity consisting exactly of a plurality (≥1) of objects as member parts which together form a unit
BFO_0000182,,history,process,(Elucidation) A history is a process that is the sum of the totality of processes taking place in the spatiotemporal region occupied by the material part of a material entity
PMD_0020059,,portion of sulfur,portion of pure chemical element,A 'portion of sulfur' is a 'portion of pure chemical element' that 'consists of' only chebi:sulfur atom.
PMD_0000008,,process attribute,occurrent,a process attribute is a dependent occurrent that existentially depends on a process.
PMD_0000781,,heat treatment function,function,A function performed to alter the properties of materials through controlled heating and cooling processes.
UO_0000163,,mass percentage,mass percentage based unit,A dimensionless concentration unit which denotes the mass of a substance in a mixture as a percentage of the mass of the entire mixture.
PMD_0000530,,bending testing process,mechanical property analyzing process,"A mechanical property analyzing process that measures the resistance of a material to bending forces, determining its flexural strength and stiffness."
PMD_0000581,,compression testing process,mechanical property analyzing process,"A mechanical property analyzing processs that determines a material's behavior under compressive forces, measuring its compressive strength and modulus."
PMD_0000588,,creep testing machine,device,A device used to test the creep behavior of materials under constant stress at high temperatures.
PMD_0000795,,ion exchange chromatography process,chromatography process,A chromatography process that separates ions and polar molecules based on their charge by using an ion exchange resin to attract and retain the ions from the sample.
PMD_0020145,,educt,role,Educt is the role of a material entity that is input of a chemical reaction and is consumed or transformed during the reaction
IAO_0020010,,identifier creating process,completely executed planned process,A planned process that provides a reference to an individual entity shared by a group of subscribers to refer to that individual entity.
PMD_0000656,,gas chromatography process,chromatography process,"A chromatography process that separates and analyzes compounds that can be vaporized without decomposition, using a gas as the mobile phase and a solid or liquid stationary phase."
PMD_0050110,,potash lead glass,lead glass,lead glass that utilizes potash as a flux in addition to lead oxide
PMD_0050044,,stoneware,natural ceramic,"natural ceramic that is clay-based, fired at higher temperatures than earthenware to yield a denser, more durable material"
CHEBI_33349,,dubnium atom,metal atom,Definition not available
PMD_0020249,,ceramic crystal,crystal,a crystal whose atomic entities have a ionic or a covalent bond
PMD_0000574,,coating from the pulpy or pasty state,coating,A coating process that involves applying a coating from a pulpy or pasty state.
PMD_0090051,,unsaturated polyester resins,thermosetting polymer,thermosetting polymer system of unsaturated polyester prepolymers in reactive vinyl monomers; it cures by radical crosslinking into rigid networks
PMD_0000969,,temperature change function,function,A function in heat treatment performed to induce changes in temperature to alter material properties.
PMD_0020221,,self-diffusion in crystaline solid,diffusion,diffusion of entites of a single type in a crystal that consists of entites of this same type
PMD_0020153,,technical system,object aggregate,"A technical system is an object aggregate: 
1. that is output of a manufacturing process, 
2. that has some function 
3. whose continuant parts are some components."
PMD_0000920,,saw,,"A saw is a device used to cut materials, especially wood. It usually consists of a thin, sharp metal blade fitted with teeth and a handle or frame that allows the user to guide the saw. There are different types of saws designed for different applications, including handsaws, circular saws, hacksaws and band saws. Each type of saw is designed for specific tasks and materials to enable efficient cutting."
PMD_0000013,,parameter specification,,"A directive information entity that specifies a parameter required or produced by a workflow function, including its intended role, position, and constraints."
UO_0000076,,mole fraction,mole fraction based unit,A concentration unit which denotes the number of moles of solute as a proportion of the total number of moles in a solution.
PMD_0025003,,metallic grain structure,intensive quality,intensive quality epitomizing the distinct phases in the microscopic structure of a metallic material.
PMD_0090005,,titanium matrix composite,metal matrix composite,"metal matrix composite, consisting of a titanium or titanium alloy matrix and one or more reinforcement materials"
PMD_0010016,,silver metal,precious metal,precious metal consisting primarily of silver
PMD_0020246,,continous transport,transport,"recurring transport of multiple entities, such that the transported entities are not being discretized anymore"
APOLLO_SV_00000008,William R. Hogan,software development,planned process,A planned process that has specified output a software product and that involves the creation of source code.
PMD_0000663,,crystallite,crystal,A crystal grain is a crystal that is part of a polycrystal.
PMD_0000941,,spalling testing process,mechanical property analyzing process,A mechanical property analyzing process that evaluates the resistance of a material to surface spalling or flaking under high impact or thermal stresses.
CHEBI_30513,,antimony atom,metalloid atom,Definition not available
CHEBI_33382,,lutetium atom,lanthanoid atom,Definition not available
CHEBI_28685,,molybdenum atom,metal atom,Definition not available
CHEBI_33675,,p-block molecular entity,main group molecular entity,A main group molecular entity that contains one or more atoms of a p-block element.
PATO_0001025,,pressure [pato],intensive quality,A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.
PMD_0000894,,precision lathe,lathe,"A precision lathe is a lathe that rotates a workpiece about an axis to perform various operations such as cutting, sanding, drilling, or deformation with extreme accuracy."
PMD_0020194,,diffusion,process,process by which material entities spread or move due to random thermal motion
BFO_0000023,,role,realizable entity,"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."
CHEBI_81045,,lead oxide,molecular entity,An inorganic lead salt composed from lead(2+) and oxide.
CHEBI_30187,,aluminium oxide,molecular entity,Definition not available
PATO_0002198,,quality of a substance [pato],quality,A quality inhering in a bearer by virtue of its constitution.
PMD_0000816,,laser spectroscopy,spectroscopy process,"A spectroscopy process, that uses laser light to probe the properties of materials."
DIGITRUBBER_000283,Alexander Aschemann,particle [dik],object,Smallest discernible spherical or nearly spherical material entity which can exist separately
PMD_0000542,,cnc welding machine,welding device,A cnc machine that performs welding operations.
PMD_0000895,,pressing on - in,joining,"A joining process that involves mechanically pressing one component into or onto another to create a secure fit, thereby establishing a strong mechanical connection."
DIGITRUBBER_000265,Sven Schwabe (IFNANO),standard deviation [ifnano],measurement datum,A measure of the amount of variation of a set of values.
PMD_0050157,,shape 3d,geometry shape,"A shape 3D is a geometry shape that exists in three dimensions, having length, width, and height, and can be defined by its spatial properties such as volume and surface area."
PMD_0090019,,bio-based chemical,bio-based material,bio-based material used in chemical reactions as a reactant
PMD_0000874,,optical microscope,microscope,A microscope that uses visible light and lenses to magnify and view small objects or details.
PMD_0010034,,curing,process,The toughening or hardening of a polymer material by cross-linking of polymer chains.
PMD_0050038,,polyhydroxyalkanoates,polymer,polyhydroxyalkanoates are biodegradable polymers that are biosynthesized by microorganisms from sugars or lipids
PMD_0020092,,portion of palladium,portion of pure chemical element,A 'portion of palladium' is a 'portion of pure chemical element' that 'consists of' only chebi:palladium.
DIGITRUBBER_000195,Yaman Alsalka (IFNANO),FTIR spectroscopy [ifnano],plan specification,Fourier transform infrared involves the probing of matter with infrared radiation. It is based on periodic changes in dipole moments caused by molecular vibrations during the absorption of IR radiation and gives spectroscopic fingerprints.
PMD_0000905,,primary shaping from the ionized state,primary shaping,A primary shaping process that involves forming materials from an ionized state.
PMD_0000539,,bulk modulus,elastic modulus,The bulk modulus is an elastic modulus representing a measure of a material's resistance to uniform compression.
PMD_0000786,,hybrid simulation,simulation method specification,A simulation method specification that combines physical and computational models to analyze material behavior.
PMD_0000615,,drilling machine,forming machine,A forming machine that creates holes in a workpiece by means of a rotating drill bit.
PMD_0020212,,polymorphism of crystal,disposition,disposition of a crystal to change its crystal structure
DIGITRUBBER_000644,Yamen Alsalka,butyl rubber BIIR [ifnano],synthetic rubber [dik],"Is a synthetic rubber, a copolymer of isobutylene with isoprene"
PMD_0020096,,steel,ferrous metal,ferrous metal that consists of iron and carbon and possibly other alloying elements (and possibly impurities)
PMD_0020041,,portion of argon,portion of pure chemical element,A 'portion of argon' is a 'portion of pure chemical element' that 'consists of' only chebi:argon atom.
PMD_0050029,,urea formaldehyde,thermosetting polymer,"thermosetting polymer formed from urea and formaldehyde, commonly used in adhesives and molding compounds."
PMD_0050119,,fused silica glass,optical glass,"optical glass that is made from pure silica, prized for its high transparency and thermal stability.|Fused silica is a silicate glass that is essentially pure, amorphous SiO₂"
PMD_0020067,,portion of magnesium,portion of pure chemical element,A 'portion of magnesium' is a 'portion of pure chemical element' that 'consists of' only chebi:magnesium atom.
PMD_0000984,,thermocycler,temperature change device,"A thermocycler is a temperature change device that rapidly changes the temperature of a sample in cycles, often used in polymerase chain reactions (PCR)."
PMD_0020231,,interstitital solid solution,solid solution,a solid solution whose solute entities are located in the interstitial sites
PMD_0000852,,metal,,"A metal is an engineered material representing a class of materials characterized by high electrical and thermal conductivity, ductility, and metallic bonding."
PMD_0000553,,chemical potential,intensive quality,an intensive quality of a thermodynamic system describing the energy change associated with the addition of a small quantity of a substance to a system at constant temperature and pressure.
PMD_0020068,,portion of zinc,portion of pure chemical element,A 'portion of zinc' is a 'portion of pure chemical element' that 'consists of' only chebi:zinc atom.
PMD_0000661,,glass,material,A glass is an engineered material present as an amorphous solid typically formed by rapid cooling of a melt.
BFO_0000141,,immaterial entity,independent continuant,b is an immaterial entity =Def b is an independent continuant which is such that there is no time t when it has a material entity as continuant part
PMD_0000926,,scratch testing process,mechanical property analyzing process,"A mechanical property analyzing process that evaluates a material's resistance to scratching, measuring hardness and adhesion properties."
PMD_0000005,,material property,disposition,a disposition of a portion of matter that is realized in a compatible process and whose realization is grounded in the portions intensive qualities
PMD_0000933,,simulation process,computing process,A computing process that models the behavior of a system over time using mathematical or computational techniques.
PMD_0001022,,x-ray computed tomography system,device,A device that uses X-ray computed tomography techniques to produce cross-sectional images of a material.
CHEBI_27568,,selenium atom,chalcogen,Definition not available
PMD_0020199,,slip plane,fiat surface,A slip plane is a fiat surface that corresponds to a crystallographic plane of a 3D crystal along which dislocations can glide
PMD_0020095,,portion of titanium,portion of pure chemical element,A 'portion of titanium' is a 'portion of pure chemical element' that 'consists of' only chebi:titanium atom.
PMD_0001007,,waterjet cutter,,"A device that utilizes a high-pressure stream of water or a water stream with abrasive particles to cut materials such as metal, stone, plastic, etc."
CHEBI_59999,,chemical substance,portion of matter,"A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types."
CHEBI_25805,,oxygen atom,chalcogen,Definition not available
PMD_0050021,,crystalline polyethylene terephthalate,polyethylene terephthalate,"polyethylene terephthalate that is distinguished by its ordered, crystalline structure"
PMD_0020131,,intensive quality,quality,An intensive quality is a quality that inheres in only portion of matter and thus is independent of the bearers (system-) size.
PMD_0020030,,portion of carbon,portion of pure chemical element,A 'portion of carbon' is a 'portion of pure chemical element' that 'consists of' only chebi:carbon atom.
DIGITRUBBER_000022,,camera coordinate system [jade],information content entity,"""The camera coordinate system has its origin at the perspective centre of the image. It is further defined by reference features fixed in the camera (fiducial marks, réseau, sensor system). It can therefore be reconstructed from the image and related to an image measuring device"" (Luhmann et al. 2020: 278)"
PMD_0020039,,portion of cobalt,portion of pure chemical element,A 'portion of cobalt' is a 'portion of pure chemical element' that 'consists of' only chebi:cobalt atom.
CHEBI_38179,,monocyclic heteroarene,heteroarene,Definition not available
PMD_0000800,,ion spectroscopy,spectroscopy process,"A spectroscopy process, that analyzes the properties and behavior of ions in a sample by measuring their interaction with electromagnetic fields or other ions."
CHEBI_33377,,dysprosium atom,lanthanoid atom,Definition not available
PMD_0000590,,cryogenic freezer,temperature change device,"A device used to preserve materials at extremely low temperatures, typically below -150°C."
PMD_0050011,,syndiotactic polypropylene,polypropylene,polypropylene in which the methyl groups alternate regularly along the polymer chain
PMD_0010023,,bioactive,disposition,"A disposition that inheres in a material entity and is realized in an organismal context as a specific interaction with one or more biological systems, producing a measurable biological effect (e.g., therapeutic, toxic, or signaling outcome)."
CHEBI_22977,,cadmium atom,metal atom,Definition not available
PMD_0020154,,precipitation (phase),phase transformation,"Precipitation from a supersaturated solid solution is a phase transformation process in which a single supersaturated parent phase decomposes into a solute‑depleted matrix and dispersed, compositionally distinct precipitate phases."
PMD_0000768,,half-life,process attribute,The half-life is a process attribute describing the time it takes for a material entity or a quality of a material entity to reduce its initial value to a half
PMD_0000983,,thermocouple,device,A device for measuring temperature in which a pair of wires of dissimilar metals (such as copper and iron) are joined and the free ends of the wires are connected to an instrument (such as a voltmeter) that measures the difference in potential created at the junction of the two metals.
PMD_0020215,,wave,process,is a process of a propagating of disturbance that transports energy and momentum
PMD_0020214,,diffraction,process,"is a process of interference of waves which, scattered by a material’s periodic features, produce characteristic patterns"
GO_0008150,,biological process,process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
CHEBI_194537,,livermorium atom,chalcogen,A chalcogen atom with a symbol Lv and atomic number 116.
PMD_0020211,,allotropy of an elemental crystal,polymorphism of crystal,a disposition of an elemental crystal to change its crystal structure
PMD_0090006,,magnesium matrix composite,metal matrix composite,"metal matrix composite, consisting of a magnesium or magnesium alloy matrix and one or more reinforcement materials"
PMD_0000952,,strength,mechanical property,The strength is a material property describing the maximum stress a material can withstand before failure.
PMD_0000557,,chromatography system,device,A device used for separating mixtures into individual components using a chromatographic column and a mobile phase.
BFO_0000019,,quality,specifically dependent continuant,"(Elucidation) A quality is a specifically dependent continuant that, in contrast to roles and dispositions, does not require any further process in order to be realized"
IAO_0000591,,software method,software,"A software method (also called subroutine, subprogram, procedure, method, function, or routine) is software designed to execute a specific task."
PMD_0020171,,phase boundary (spatial),fiat surface,A fiat surface separating one phase from another phase.
PMD_0000791,,induction furnace,furnace,"An induction furnace is a furnace that heats materials using electromagnetic induction, generating heat directly within the material."
PMD_0050109,,lead glass,silicate glass,silicate glass in which lead(II) oxide (PbO) is incorporated in significant amounts
PMD_0000541,,cnc machine,forming machine,"A CNC machine is a forming machine that uses computer numerical control to precisely control machining tools for cutting, drilling, milling, and other tasks."
PMD_0000847,,measuring function,function,"A function performed to determine the magnitude, quantity, or extent of a physical property or condition."
PMD_0020178,,rod,object,A rod is a long object with oval or round section that may bear a semi finished product role. At the same time it may be a material.
PMD_0000610,,dimension measuring function,measuring function,A measuring function performed to determine the dimensions of an object or material.
PMD_0020045,,portion of antimony,portion of pure chemical element,A 'portion of antimony' is a 'portion of pure chemical element' that 'consists of' only chebi:antimony atom.
PATO_0001739,,radiation quality,intensive quality,A quality that inheres in an bearer by virtue of how that bearer interacts with radiation.
DIGITRUBBER_000024,,camera calibration [jade],process,"""The photogrammetric determination of the parameters of interior orientation is usually referred to as calibration. This is based on the idea that once a mechanically stable camera is calibrated, it may be moved from one image taking location to another whilst retaining its calibration."" (Luhmann, Robson et al. 2020: 170)"
PMD_0050072,,titanium diboride ceramic,boride ceramic,"boride ceramic that is a non-oxide ceramic composed of titanium and boron, valued for its high hardness and melting point"
PMD_0050118,,optical glass,glass,glass manufactured for optical components
PMD_0050127,,laminated glass,glass,glass that is composed of multiple bonded layers to improve safety and acoustic performance
PMD_0050064,,silicon carbide ceramic,carbide ceramic,carbide ceramic consisting of silicon carbide
PMD_0011032,,silicide ceramic,non-oxide ceramic,non-oxide ceramic consisting of a silicon and another element
PMD_0000956,,structural optimization simulation,simulation process,A simulation process that aims to find the most stable structure of a molecular system by minimizing its energy.
CHEBI_49696,,krypton atom,molecular entity,Definition not available
PMD_0000957,,structural property analyzing process,assay [obi],"An assay that examines the external and internal structure and morphology of materials, including the arrangement of atoms, crystals, grains, and phases, often using techniques like microscopy and diffraction."
DIGITRUBBER_000640,Yamen Alsalka,normalization [ifnano],process,Scaling spectra in order to get all data on approximately the same scale.
CHEBI_24859,,iodine atom,nonmetal atom,Chemical element with atomic number 53.
PMD_0020134,,stimulus role,role,"The stimulus role is a role that an object bears in a process when causally influencing another object  that bears a stimulation target role in the same process. 'Role' implies here, that the 'bearing' assignment depends on the intent."
PMD_0020137,,stable phase,phase (thermodynamic),"A stable phase is a phase that does not have a ""pmd:disposition of a phase to transform"" in the ""pmd:phase transformation"" it participates."
PMD_0050121,,flint glass,optical glass,optical glass that is distinguished by its high refractive index and dispersion
PMD_0090018,,bio-based composite,composite,composite consisting of at least one constituent derived from biological or bio-based sources
CHEBI_49828,,praseodymium atom,lanthanoid atom,Definition not available
PMD_0050142,,tellurite glass,nonlinear optical glass,glass that is formulated with tellurium oxide to achieve a high refractive index and nonlinear properties
PMD_0000659,,gel permeation chromatography system,chromatography system,A chromatography system used for separating and analyzing polymers based on their molecular size using gel permeation chromatography.
PMD_0050080,,carbon-silicon carbide composite,non-oxide composite,"non-oxide composite that consists of a carbon matrix reinforced with silicon carbide, enhancing high-temperature performance"
PMD_0090008,,glass fiber reinforced polymer,polymer matrix composite,"polymer matrix composite, consisting of a polymer matrix reinforced with glass fibers"
PMD_0200007,,blow molding,primary shaping from the plastic state,"A primary shaping from the plastic state process in which a tube or preform of molten or plasticised material is enclosed in a mold and expanded by internal gas pressure so that it conforms to the mold cavity, producing hollow bodies which then solidify."
PMD_0000807,,joining by primary shaping,joining,A joining process that involves creating a part or component in its final shape from a liquid or semi-liquid material.
CHEBI_27560,,boron atom,nonmetal atom,Definition not available
PMD_0000773,,hardness,mechanical property,"The hardness is a mechanical property used as a measure of a material's resistance to localized plastic deformation, often tested by indentation or scratch methods."
PMD_0020188,,nickel alloy,non-ferrous metal,non-ferrous metal consisting primarily of nickel combined with other elements
PMD_0020080,,portion of beryllium,portion of pure chemical element,A 'portion of beryllium' is a 'portion of pure chemical element' that 'consists of' only chebi:beryllium atom.
PMD_0020239,,small angle grain boundary,grain boundary,a grain boundary whose adjacent crystalls have a small angle of misalignment
PMD_0010007,,non-ferrous metal,metal,"metals or alloys that do not contain iron (allotropes of iron, ferrite, and so on) in appreciable amounts."
PMD_0020116,,aggregate state value,categorical value specification,The aggregate state value is a categorical value specification that specifies value of the aggregate state quality.
PMD_0000806,,joining,manufacturing process,"A manufacturing process that enables the continuous bonding or joining of two or more workpieces with a specific, fixed shape or of such workpieces with a shapeless material, whereby the cohesion is created at specific points and reinforced overall."
PMD_0000630,,emission of wave radiation,emission of radiation,"The emission of wave radioation is an emission of radiation describing the release of energy in the form of waves, such as electromagnetic or acoustic waves, by a material or system."
PMD_0000945,,spectroscopy process,structural property analyzing process,"A structural property analyzing process that measures the interaction of electromagnetic radiation with matter to determine e.g. the composition, structure, and other properties of materials."
PMD_0000635,,evolution of damage,process,"An evolution of damage is a process representing the progression of material degradation under mechanical, thermal, or chemical stresses."
PMD_0000901,,primary shaping by welding,primary shaping,A primary shaping process that involves forming materials by welding.
PMD_0010025,,bioresorbable,biocompatible,biocompatibe and degrading and being resorbed by the body over time
PMD_0000796,,ion exchange chromatography system,chromatography system,A chromatography system used for separating ions in a sample using ion exchange resins in a chromatographic column.
PMD_0020144,,product (chemical reaction),role,Product is the role of a material entity that is output of a chemical reaction and is created or transformed during the reaction.
CHEBI_33396,,nobelium,metal atom,Definition not available
CHEBI_36962,,organochalcogen compound,chalcogen molecular entity,An organochalcogen compound is a compound containing at least one carbon-chalcogen bond.
PMD_0020005,,porosity,intensive quality,itensive quality embodiying the fraction of the materials (enclosing) spatial region occupied by pores.
PMD_0020023,,metallic grain structures,categorical value specification,The metallic grain structures is a categorical value specification that specifies value of the  metallic grain structure quality. It describes the morphology of polycrystalline metallic materials. Polycrystalline metallic materials will typically form their grain structures as one of those categories or a transition or mixture state of those.
UO_0000164,,mass volume percentage,mass volume percentage based unit,A dimensionless concentration unit which denotes the mass of the substance in a mixture as a percentage of the volume of the entire mixture.
PMD_0000922,,scanning electron microscope,electron microscope,A scanning electron microscope (SEM) is a measuring device that produces high-resolution images of a sample surface by scanning it with a focused beam of electrons.
DIGITRUBBER_000280,Sven Schwabe (IFNANO),sample [ifnano],role,"A material entity, which is part of a larger set of the same material entity"
PMD_0000990,,thin layer chromatography system,chromatography system,A chromatography system used for separating compounds in a sample using a thin layer of adsorbent material on a plate.
PMD_0000057,,melting function,heating function,"A heating function that, when realized, enables a device or system to initiate or sustain the phase transition of a solid material into a liquid by raising its temperature above the melting point."
PMD_0000622,,electrical property analyzing process,assay [obi],"An assay that determines the electrical properties of materials, including electrical conductivity, resistivity, dielectric strength, and electrical charge storage capabilities."
BFO_0000015,,process,occurrent,"(Elucidation) p is a process means p is an occurrent that has some temporal proper part and for some time t, p has some material entity as participant"
PMD_0050090,,bismuth strontium calcium copper oxide ceramic,superconducting ceramic,"oxide ceramic that is superconducting and composed of bismuth, strontium, calcium, copper, and oxygen, featuring a layered crystal structure"
CHEBI_36828,,pseudohalide anion,polyatomic monoanion,Definition not available
PMD_0000854,,micrometer gauge,device,A measuring device for making precise measurements having a spindle moved by a finely threaded screw.
BFO_0000040,,material entity,independent continuant,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.
PMD_0000657,,gas chromatography system,chromatography system,A chromatography system used for separating and analyzing compounds in a gas mixture using a chromatographic column.
PMD_0020237,,Burgers vector,extensive quality,quality of a dislocation in terms of amount and direction in a specific crystal type
DIGITRUBBER_000003,,geometry [imr],data item,Definition not available
PMD_0000608,,differential thermal analyzer,device,A device used to measure the temperature difference between a sample and a reference material as they are heated or cooled.
PMD_0000637,,fatigue testing machine,device,A device used to test the fatigue resistance of materials by subjecting them to repeated stress cycles.
CHEBI_28984,,aluminium atom,metal atom,Definition not available
PMD_0020046,,portion of potassium,portion of pure chemical element,A 'portion of potassium' is a 'portion of pure chemical element' that 'consists of' only chebi:potassium atom.
PMD_0000555,,chromatography function,function,A function performed to separate compounds in a mixture based on their distribution between a stationary phase and a mobile phase.
PMD_0000890,,connected material entity aggregate,object aggregate,"An object aggregate that is a mereological sum of separate material entities, which adhere to one another through chemical bonds or physical junctions that go beyond gravity."
PMD_0025012,,analytical calculation,computing process,"Analytical calculation is a computing process which has value specification or measurement datum as a specified output. It applies a closed-form mathematical expression or formula to a set it specified inputs (value specifications) without requiring stochastic sampling, iterative numerical solving, or data-driven training."
PMD_0000849,,mechanical property analyzing process,assay [obi],"An assay that evaluates the mechanical characteristics of materials, such as strength, hardness, elasticity, and tensile properties, often through tests that measure response to forces and loads."
PMD_0000567,,coating device,device,A device used for applying a coating or layer to materials to enhance their properties or appearance.
PMD_0000508,,additive manufacturing device,device,A device used for manufacturing objects layer by layer through additive processes such as 3D printing.
PMD_0000899,,primary shaping,manufacturing process,"A manufacturing process that creates a defined workpiece from shapeless material by producing cohesion, whereby the characteristic properties of the material become visible in the end product."
PMD_0050141,,chalcogenide glass,optical glass,non‑silicate glass (generally non‑oxide) that contains one or more chalcogens
PMD_0000668,,grips,device,"This device is a part by which something, usually a tangible object, is grasped. Typically, grips are part of a mounting system (processing node) referring to a testing system."
PMD_0000964,,supervised machine learning,machine learning,A machine learning process that learns a function mapping from input data to labeled output data.
PMD_0000573,,coating from the plastic state,coating,A coating process that involves applying a coating from a plastic state.
PMD_0000613,,discrete-event simulation,simulation method specification,"A simulation method specification where events are processed at distinct points in time, commonly used for modeling systems with discrete state changes."
PMD_0001005,,viscometry,rheological property analyzing process,"A rheological property analyzing process that measures the viscosity of a fluid, which is its resistance to gradual deformation by shear or tensile stress, using viscometers or rheometers."
PMD_0020206,,unit cell (3D crystal),three-dimensional spatial region,A unit cell (3D crystal) is a three-dimensional spatial region that represents the smallest repeating region whose spatial translation reproduces a crystal lattice.
CHEBI_50860,,organic molecular entity,carbon group molecular entity,Any molecular entity that contains carbon.
CHEBI_74236,,polymerisation monomer,role,Any compound used as a monomer for a polymerisation process. The term is generally used in relation to industrial polymerisation processes.
PMD_0020168,,magnetic boundary,phase boundary (realization),A magnetic boundary is a phase boundary that is realized by the transition from one magnetic ordering to another magnetic ordering.
PMD_0000075,,mould,device,A device consisting of a hollowed-out cavity that shapes fluid or plastic material into a specific form through the process of solidification or cooling.
PMD_0000940,,spalling testing machine,device,A device used to test the resistance of materials to spalling or flaking under various conditions.
PMD_0000584,,conditioning process,manufacturing process,A conditioning process is a manufacturing process that sets a material entity to predefined environmental conditions.
PMD_0000625,,electron microscopy,microscopy process,"A microscopy process that uses a beam of electrons to create an image of an object, allowing for high-resolution visualization of the material's surface and internal structures."
PMD_0020076,,portion of silver,portion of pure chemical element,A 'portion of silver' is a 'portion of pure chemical element' that 'consists of' only chebi:silver atom.
PMD_0000819,,light microscopy,optical microscopy,"An optical microscopy process that uses visible light and lenses to magnify and visualize specimens, enabling the study of the microstructure and morphology of materials."
PMD_0200008,,modelling,primary shaping from the plastic state,"A primary shaping from the plastic state process in which a manually workable plastic mass (such as clay, wax, plastiline or gypsum paste) is shaped directly by hand and simple tools into a final or intermediate geometry and subsequently hardened, dried or fired to obtain a solid body."
PMD_0050000,,bond,relational quality,A bond is a relational quality describing the force interaction between atoms.
PMD_0001998,,cutting device,,"A device designed to cut, slice, divide, or sever objects."
CHEBI_33346,,rutherfordium atom,metal atom,Definition not available
PMD_0000798,,ion microscopy,microscopy process,"A microscopy process that uses a focused beam of ions to image a specimen, providing high-resolution images and compositional information, often used for surface analysis and depth profiling."
PMD_0020055,,portion of bohrium,portion of pure chemical element,A 'portion of bohrium' is a 'portion of pure chemical element' that 'consists of' only chebi:bohrium atom.
PMD_0020065,,portion of selenium,portion of pure chemical element,A 'portion of selenium' is a 'portion of pure chemical element' that 'consists of' only chebi:selenium atom.
PMD_0000538,,bulk,fiat object part,"The bulk is a fiat object part that describes the volume or mass of material considered as a whole, often in contrast to surface or interface phenomena."
PMD_0020202,,crack,site,A crack is a site that consists of a physical separation within a material entity occurring at the level of atomic bonds.
PMD_0000797,,ion microscope,microscope,A microscope that uses ions to create high-resolution images of the surface or structure of a sample.
CHEBI_27698,,vanadium atom,metal atom,Definition not available
PMD_0011034,,cermet,metal matrix composite,metal matrix composite material consisting of a ceramic phase (typically carbides or nitrides) bonded with a continuous metallic phase
CHEBI_51446,Lars Vogt,organic divalent group [chebi],organic group [chebi],Definition not available
PMD_0020160,,microconstituent (phase mixture),portion of matter,A portion of matter that has one or more thermodynamic phases arranged in a characteristic spatial configuration (morphology) as parts.
PMD_0050031,,natural rubber,elastomer,"elastomer polymer, and a biopolymer harvested as plant latex; consisting of cis-1,4-polyisoprene chains; typically sulfur-vulcanized to create crosslinks between chains"
CHEBI_33595,,cyclic compound,molecule,Any molecule that consists of a series of atoms joined together to form a ring.
DIGITRUBBER_000642,Yamen Alsalka,butadiene rubber BR [ifnano],synthetic rubber [dik],"Polybutadiene [butadiene rubber BR] is a synthetic rubber. Polybutadiene rubber is a polymer formed from the polymerization of the monomer 1,3-butadiene. Polybutadiene has a high resistance to wear and is used especially in the manufacture of tires."
PMD_0020142,,energy,extensive quality,an extensive quality of material entities which manifests as a capacity to perform work (such as causing motion or the interaction of molecules)
PMD_0001047,,diagonal,size,A straight line connecting two non-adjacent corners or vertices of a polygon.
PMD_0050005,,polyethylene,thermoplastic polymer,poylethylen is a thermoplastic polymer produced by polymerization of the monomer ethylene including further crosslinking and modifications using other comonomers; it excludes ultra hight molecular polyethylen
PMD_0000103,,hardening,manufacturing process,A manufacturing process that increases the strength and hardness of a material.
BFO_0000002,,continuant,entity,"(Elucidation) A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity"
DIGITRUBBER_000199,Yamen Alsalka (IFNANO),raw rubber samples [ifnano],raw material [hsh],Natural and synthetic rubber materials that are modified and shaped into rubber products through the rubber extrusion process.
PMD_0000628,,emission of corpuscular radiation,emission of radiation,"The emission of corpuscular radiation is an emission of radiation describing the release of particle-based radiation, such as alpha or beta particles, from a material or system."
PMD_0000822,,machining geometrically defined,separating,"A separating process that involves removing material with a tool that has a defined shape and sharp edges, such as in sawing and drilling operations."
CHEBI_25699,,organic ion,ion,Definition not available
PMD_0020129,,reversible process,process,A reversible process is a process whose participants form a thermodynamic system with an entropy S and S remains constant during the process.
DIGITRUBBER_000227,Christoph Lenth,measurement metadata,metadata,metadata that belong to a measurement. They complete the measurment data providing information about the condition under which the measurements have been taken place.
