Class Suffix,Contributor,Label,Parent,Definition
OBI_0001933,PERSON:Bjoern Peters,value specification,information content entity,An information content entity that specifies a value within a classification scheme or on a quantitative scale.
PMD_0020170,,ingot,object,An ingot is an object that has a thick section and may bear a semi finished product role and that is the specified output of a casting process. At the same time it is a material.
CHEBI_48343,,disulfide,sulfur molecular entity,Compounds of structure RSSR'.
NCIT_C47936,,crosslink [ncit],group [chebi],Any covalent linkage between two polymers or between two different regions of the same polymer.
DIGITRUBBER_000647,Yamen Alsalka,nitrile rubber NBR [ifnano],synthetic rubber [dik],"Known as nitrile butadiene rubber and acrylonitrile butadiene rubber, is a synthetic rubber derived from acrylonitrile (ACN) and butadiene."
CHEBI_38179,,monocyclic heteroarene,heteroarene,
PMD_0050125,,aluminosilicate gorilla glass,aluminosilicate glass,glass that is chemically strengthened
PMD_0050018,,high impact polystyrene,polystyrene,polystyrene that is modified with rubber to improve its impact resistance
IAO_0000308,PERSON: Lawrence Hunter,figure,information content entity,An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something.
DIGITRUBBER_1000076,Pallavi Karanth,condition specification,directive information entity,"A condition specification of a process definition refers to the detailed requirements and constraints that must be met within a process to ensure consistency and quality outlining necessary inputs, outputs, parameters that must be controlled to acheive desired outcomes."
PMD_0090008,,glass fiber reinforced polymer,polymer matrix composite,"polymer matrix composite, consisting of a polymer matrix reinforced with glass fibers"
DIGITRUBBER_000117,Marvin Auf der Landwehr,turnover [hsh],cost group [hsh],A cost group for the total sales value generated in a time period X by the system under investigation
DIGITRUBBER_000533,Alexander Aschemann,measurement protocol [dik],protocol [obi],"A protocol which specifies the conditions, procedures, and instruments used for conducting a measurement assay in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the measurement assay."
IAO_0020000,,identifier,information content entity,An information content entity that is the outcome of a dubbing process and is used to refer to one instance of entity shared by a group of people to refer to that individual entity.
PMD_0010101,,compound semiconductor,semiconductor,semiconductor which is composed of two or more pure elements
DIGITRUBBER_000016,,distance between sensor and extrudate [imr],relational quality,
DIGITRUBBER_000560,Alexander Aschemann,specific surface [dik],surface [dik],
IAO_0000038,person:Alan Ruttenberg,graph,diagram,A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way.
OBI_0000245,,organization,material entity,"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."
CHMO_0001613,,extrusion [chmo],planned process,A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
BFO_0000038,,one-dimensional temporal region,temporal region,(Elucidation) A one-dimensional temporal region is a temporal region that is a whole that has a temporal interval and zero or more temporal intervals and temporal instants as parts
COB_0000082,,planned process,process,A process that is initiated by an agent who intends to carry out a plan to achieve an objective through one or more actions as described in a plan specification.
CHEBI_33357,,hassium atom,metal atom,
DIGITRUBBER_000313,Alexander Aschemann,stearic acid [dik],pure substance,"Stearic acid is a common 18-carbon long-chain saturated fatty acid (
) found widely in animal and vegetable fats."
PMD_0020231,,interstitital solid solution,solid solution,a solid solution whose solute entities are located in the interstitial sites
PMD_0010000,,corrosion resistant,material property,a disposition to withstand corrosive attack to a certain extend
PMD_0020098,,nature constant,generically dependent continuant,"A nature constant is a generically dependent continuant whose value, maginitude or configuration is determined by nature including physics and mathematics."
PMD_0050137,,magnetic glass,glass,glass that exhibits intrinsic bulk magnetic behavior|Magnetic glass is functional glass that is modified to exhibit magnetic properties
DIGITRUBBER_1000082,Pallavi Karanth,savtizky golay filter,device,"The Savitzky–Golay (S–G) filter is a discrete system/filter used for time series smoothing, i.e. for removing higher-frequency components of time series."
DIGITRUBBER_000398,Alexander Aschemann,Newtonmeter [dik],device,
PMD_0020179,,wire (semi finished product),object,A wire is a long and somewhat flexible object that may bear a semi finished product role. At the same time it is a material.
PMD_0050130,,thermochromic glass,functional glass,functional glass that changes its optical properties as a function of temperature
IAO_0000007,,action specification,directive information entity,A directive information entity that describes an action the bearer will take.
UO_0000163,,mass percentage,mass percentage based unit,A dimensionless concentration unit which denotes the mass of a substance in a mixture as a percentage of the mass of the entire mixture.
DIGITRUBBER_1000014,,carbon black [Arlanxeo],filler [Arlanxeo],A filler based on structured carbon which is present in larger fractions in sidewall than in tread compounds. Every CB grade has two major properties that determine its properties.
DIGITRUBBER_000108,Marvin Auf der Landwehr,cost group [hsh],information content entity,"Cumulative expression for the value of overarching entity groups (e.g., human ressource, maintenance) within the system under study"
OBI_0200041,Elisabetta Manduchi,k-means clustering [obi],dataset creating,"A k-means clustering is a data transformation which achieves a class discovery or partitioning objective, which takes as input a collection of objects (represented as points in multidimensional space) and which partitions them into a specified number k of clusters. The algorithm attempts to find the centers of natural clusters in the data. The most common form of the algorithm starts by partitioning the input points into k initial sets, either at random or using some heuristic data. It then calculates the mean point, or centroid, of each set. It constructs a new partition by associating each point with the closest centroid. Then the centroids are recalculated for the new clusters, and the algorithm repeated by alternate applications of these two steps until convergence, which is obtained when the points no longer switch clusters (or alternatively centroids are no longer changed)."
PMD_0020056,,portion of fluorine,portion of pure chemical element,A 'portion of fluorine' is a 'portion of pure chemical element' that 'consists of' only chebi:fluorine atom.
DIGITRUBBER_000004,,geometry [geosparql],data item,A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS).
CHEBI_27563,,arsenic atom,metalloid atom,
DIGITRUBBER_000472,Alexander Aschemann,molding zone temperature control unit [dik],device,
CHEBI_25805,,oxygen atom,chalcogen,
DIGITRUBBER_000459,,motor [envo],device,A motor is a machine designed to convert one or more forms of energy into mechanical energy.
OBI_0200042,James Malone,hierarchical clustering [obi],class discovery data transformation,"A hierarchical clustering is a data transformation which achieves a class discovery objective, which takes as input data item and builds a hierarchy of clusters. The traditional representation of this hierarchy is a tree (visualized by a dendrogram), with the individual input objects at one end (leaves) and a single cluster containing every object at the other (root)."
OBI_0002201,,determination if assay will provide reliable results,planned process,"A planned process that is used to assess whether an assay will provide reliable results based on the conditions or qualities of the inputs, devices, and other participants of the assay."
PMD_0050088,,superconducting ceramic,electroceramic,electroceramic that exhibits zero electrical resistance below a critical temperature
OBI_0100051,PERSON: James Malone,specimen [obi],material entity,A material entity that has the specimen role.
PMD_0000119,,sandwich panel composite,structural composite,A structural composite designed as a lightweight beam or panel consisting of two stiff and strong outer face sheets separated by a lightweight core layer with a low modulus of elasticity
PMD_0000016,,workflow run,,"A computing process that realizes a workflow definition by executing its prescribed workflow nodes in a concrete temporal order, consuming and producing specific data items."
DIGITRUBBER_000467,Alexander Aschemann,screw temperature [dik],device specification,
PMD_0050121,,flint glass,optical glass,optical glass that is distinguished by its high refractive index and dispersion
PMD_0000506,,acoustic property,material property,"An acoustic property is a material property representing characteristics of a material that determine its interaction with sound waves, such as absorption, reflection, and transmission."
PMD_0020035,,portion of niobium,portion of pure chemical element,A 'portion of niobium' is a 'portion of pure chemical element' that 'consists of' only chebi:niobium atom.
DIGITRUBBER_1000015,,silica [Arlanxeo],filler [Arlanxeo],"A filler that, together with silane, is present only in tread compounds and is used for enforcement."
DIGITRUBBER_000643,Yamen Alsalka,functional group [ifnano],object aggregate,"An atom or group of atoms within a molecule that has similar chemical properties whenever it appears in various compounds. Even if other parts of the molecule are quite different, certain functional groups tend to react in certain ways."
PMD_0020154,,precipitation (phase),phase transformation,"Precipitation from a supersaturated solid solution is a phase transformation process in which a single supersaturated parent phase decomposes into a solute‑depleted matrix and dispersed, compositionally distinct precipitate phases."
PMD_0050024,,bisphenol a epoxy,epoxy resin,epoxy resin that is formulated using bisphenol a to enhance its mechanical properties
PMD_0010025,,bioresorbable,biocompatible,biocompatibe and degrading and being resorbed by the body over time
CHEBI_27998,,tungsten,metal atom,
PMD_0025004,,alloy,metal,metal that has part a mixture of chemical elements of which at least one is a metallic element
PMD_0020215,,wave,process,is a process of a propagating of disturbance that transports energy and momentum
PMD_0000124,,sandwich sheet,role,"a stiff, strong material that carries bending loads through tensile and compressive stresses when integrated into a panel assembly"
PMD_0000124,,sandwich sheet,role,"a stiff, strong material that carries bending loads through tensile and compressive stresses when integrated into a panel assembly"
PMD_0000013,,parameter specification,,"A directive information entity that specifies a parameter required or produced by a workflow function, including its intended role, position, and constraints."
DIGITRUBBER_000092,Sebastian Leineweber,tempering feed roller [ita],device,Control variable for setting the temperature of the feed roller.
DIGITRUBBER_1000077,Pallavi Karanth,ram position,device specification,The ram position in polymer mixing refers to the location of the ram within the mixing chamber which is crucial for maintaining the desired shear forces and ensuring uniform mixing of the polymer components.
DIGITRUBBER_000524,Alexander Aschemann,Mooney unit [dik],measurement unit label,
DIGITRUBBER_000368,Alexander Aschemann,fixed roll temperature [dik],intensive quality,
DIGITRUBBER_1000087,Pallavi Karanth,penetration thermometer,device,Penetration thermometer is a device which is used to measure the temperature of materials.
UO_1000163,,mass percentage based unit,unit,
PMD_0000075,,mould,device,A device consisting of a hollowed-out cavity that shapes fluid or plastic material into a specific form through the process of solidification or cooling.
PMD_0050039,,polybutylene succinate,thermoplastic polymer,"biodegradable thermoplastic polymer polyester that is synthesized via the polycondensation of succinic acid and 1,4-butanediol"
PMD_0020205,,defect role,role,A defect role is a role of an independent continuant C indicating that C may affect a material entity E's ability to realize a function. C is continuant part of E.
DIGITRUBBER_000412,Alexander Aschemann,stamp distance [dik],plan specification,
DIGITRUBBER_1000050,,E double dash 23 degree celcius [Arlanxeo],intensive quality,Loss modulus measured at 23 °C in dynamic mechanical thermal analysis (DTMA)
CHEBI_33304,,chalcogen molecular entity,p-block molecular entity,Any p-block molecular entity containing a chalcogen.
PMD_0000885,,pole figure,,A pole figure is a map depicting a 2D stereographic projection which represents crystallographic orientations of grains in a polycrystalline material in respect to the sample's reference frame.
DIGITRUBBER_1000047,,E dash 23 degree celcius [Arlanxeo],intensive quality,Elastic modulus measured at 23 °C in dynamic mechanical thermal analysis (DTMA)
DIGITRUBBER_1000008,,solution SBR [Arlanxeo],plan specification,Polymerization is performed in a solution where polymer molecules are dissolved in a solvent (e.g. hexane).
PMD_0000820,,load cell,device,A device that converts mechanical force into a measurable signal by sensing the physical deformation of a structural element.
PMD_0020207,,amount of substance,molar proportion,"Amount of substance n is a molar proportion when the whole is an object aggregate N, which has avogadro number objects (of same type) as parts (n = N/N_A)."
CHEBI_33355,,bohrium atom,metal atom,
BFO_0000141,,immaterial entity,independent continuant,b is an immaterial entity =Def b is an independent continuant which is such that there is no time t when it has a material entity as continuant part
NCIT_C52095,,metadata,data item,Data about data; information that describes another set of data.
DIGITRUBBER_000538,Alexander Aschemann,Mooney viscosity measurement protocol [dik],measurement protocol [dik],A viscosity measurement protocol for reliably reproducing the Mooney viscosity measurement assay.
NCIT_C64925,,mixing [ncit],planned process,To bring or combine together or with something else; add as an additional element or part.
DIGITRUBBER_000378,,mixer device [ncit],device,A mechanical device designed to blend materials or an electronic device designed to blend signals.
PMD_0000122,,laminate ply role,role,a single two-dimensional sheet that provides a specific high-strength orientation within a multi-layered stack
DIGITRUBBER_000196,Yamen Alsalka (IFNANO),ATR-FTIR [ifnano],plan specification,An attenuated total reflection accessory operates by measuring the changes that occur in a totally internally reflected infrared beam when the beam comes into contact with a sample.
PMD_0000852,,metal,,"A metal is an engineered material representing a class of materials characterized by high electrical and thermal conductivity, ductility, and metallic bonding."
PMD_0000942,,specific surface area,intensive quality,an intensive quality embodying the total surface area of a material per unit of mass or volume.
PMD_0050063,,carbide ceramic,non-oxide ceramic,non-oxide ceramic consisting of a metal and carbon
CHEBI_33330,,scandium atom,metal atom,
PMD_0010034,,curing,process,The toughening or hardening of a polymer material by cross-linking of polymer chains.
DIGITRUBBER_000041,Sebastian Leineweber,elastomer [ita],drop door temperature [dik],Elastomers are dimensionally stable but elastically deformable plastics. They are producest by vulcanization of rubber.
PMD_0020089,,portion of hafnium,portion of pure chemical element,A 'portion of hafnium' is a 'portion of pure chemical element' that 'consists of' only chebi:hafnium atom.
PMD_0050091,,bioceramic,ceramic,ceramic that is engineered to be compatible with biological systems
PMD_0000628,,emission of corpuscular radiation,emission of radiation,"The emission of corpuscular radiation is an emission of radiation describing the release of particle-based radiation, such as alpha or beta particles, from a material or system."
OBI_0200050,Philippe Rocca-Serra,dimensionality reduction,class discovery data transformation,"A dimensionality reduction is data partitioning which transforms each input m-dimensional vector (x_1, x_2, ..., x_m) into an output n-dimensional vector (y_1, y_2, ..., y_n), where n is smaller than m."
PMD_0020139,,melt,fluid (object),is a fluid (object) with a disposition to realize a blank role in a manufacturing process
DIGITRUBBER_000469,Alexander Aschemann,feeding zone temperature [dik],intensive quality,
PMD_0020043,,portion of barium,portion of pure chemical element,A 'portion of barium' is a 'portion of pure chemical element' that 'consists of' only chebi:barium atom.
COB_0000035,,completely executed planned process,planned process,
PMD_0050079,,silicon carbide matrix composite,non-oxide composite,non-oxide composite that is built with silicon carbide as the primary matrix reinforced by other ceramic phases
DIGITRUBBER_000562,Alexander Aschemann,volume-specific surface [dik],surface [dik],
PMD_0000502,,2D,data item,"A two-dimensional data item is a representation or analysis, commonly applied in studying planar material properties or surface phenomena."
PMD_0020198,,interstitial site,site,An interstitial site is a site that is located between regular lattice points in a crystal structure.
PMD_0020060,,portion of lead,portion of pure chemical element,A 'portion of lead' is a 'portion of pure chemical element' that 'consists of' only chebi:lead atom.
PMD_0060009,,specification datum,directive information entity,"A directive information entity that provides information of a setpoint of some value, i.e., it is an intended value."
IAO_0000015,PERSON: Alan Ruttenberg,information carrier,intensive quality,A quality of an information bearer that imparts the information content
DIGITRUBBER_000359,,temperature [pato],intensive quality,A physical quality of the thermal energy of a system.
PMD_0050076,,alumina matrix composite,oxide-oxide composite,oxide-oxide composite that uses alumina as the primary matrix reinforced by secondary oxide phases
NCIT_C53322,,standard deviation [ncit],measurement datum,"A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean. (ncit defined)"
PMD_0000621,,electrical property,material property,"An electrical property is a material property that represents the characteristics of a material that determine its behavior under the influence of an electric field, such as conductivity, resistivity, and permittivity."
PMD_0090013,,biological composite,composite,composite consisting of two or more distinct material phases organized in a multi-scale structure that act synergistically to fulfill specific properties or functions
PMD_0000879,PERSON: Bjoern Peters,organization,material entity,"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."
DIGITRUBBER_000343,Alexander Aschemann,fixed roll [dik],device,
CHEBI_25699,,organic ion,organic molecular entity,
PMD_0020166,,heat (metallurgy),,A heat is a fixed amount of metallic alloy that may be input to some manufacturing process.
BFO_0000009,,two-dimensional spatial region,spatial region,(Elucidation) A two-dimensional spatial region is a spatial region that is a whole consisting of a surface together with zero or more surfaces which may have spatial regions of lower dimension as parts
PMD_0050059,,magnesia-stabilized zirconia ceramic,zirconia ceramic,zirconia ceramic stabilized with magnesia to improve its thermal stability
PMD_0020134,,stimulus role,role,"The stimulus role is a role that an object bears in a process when causally influencing another object  that bears a stimulation target role in the same process. 'Role' implies here, that the 'bearing' assignment depends on the intent."
BFO_0000147,,fiat point,continuant fiat boundary,(Elucidation) A fiat point is a zero-dimensional continuant fiat boundary that consists of a single point
PMD_0000503,,ASTM grainsize,grain size,The ASTM grain size is a quality that is measured through a process that follows the ASTM standard.
DIGITRUBBER_1000003,,molecular weight distribution [Arlanxeo],intensive quality,Ratio of Mw to Mn
CHEBI_24859,,iodine atom,nonmetal atom,Chemical element with atomic number 53.
PMD_0000519,,flow of electric charge,process,is the process of movement of charged particles
CHEBI_26835,,sulfur molecular entity,chalcogen molecular entity,
PMD_0020165,,disposition of a phase to transform,disposition,The disposition of a phase to transform into another phase in a phase transformation process.
OBI_0000011,Bjoern Peters,planned process,,A process that realizes a plan which is the concretization of a plan specification.
CHEBI_27363,,zinc [efo],metal atom,A zinc group element atom that has formula Zn.
IAO_0000184,PERSON:Melanie Courtot,scatter plot,graph,"A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis."
DIGITRUBBER_000438,Alexander Aschemann,mass throughput [dik],extensive quality,"In polymers, mass throughput is the mass of polymer material that passes through a processing unit (e.g., extruder, mixer, or die) per unit time."
DIGITRUBBER_000645,Yamen Alsalka,EPDM rubber [ifnano],synthetic rubber [dik],"EPDM rubber (ethylene propylene diene monomer rubber) is a type of synthetic rubber that is composed of ethylidene norbornene (ENB), dicyclopentadiene (DCPD), and vinyl norbornene (VNB)."
DIGITRUBBER_1000064,,elastic torque at 90 percent [Arlanxeo],extensive quality,Elastic torque value at 90% conversion measured in an MDR (Moving Die Rheometer) test
CHEBI_33395,,mendelevium atom,metal atom,
DIGITRUBBER_000273,,polymer [chebi],mixture [chebi],"A polymer is a mixture, which is composed of macromolecules of different kinds and which may be differentiated by composition, length, degree of branching etc.."
DIGITRUBBER_000136,,quality inspector [hsh],role,A person who monitors the quality of incoming and outgoing products or materials in the system under investigation. Constitutes an entity of the human ressource and the production cost group.
IAO_0000591,,software method,software,"A software method (also called subroutine, subprogram, procedure, method, function, or routine) is software designed to execute a specific task."
OBI_0002989,Rebecca Jackson,material supplier,material entity,A person or organization that provides material supplies to other people or organizations.
BFO_0000142,,fiat line,continuant fiat boundary,(Elucidation) A fiat line is a one-dimensional continuant fiat boundary that is continuous
DIGITRUBBER_000265,Sven Schwabe (IFNANO),standard deviation [ifnano],measurement datum,A measure of the amount of variation of a set of values.
DIGITRUBBER_000089,Sebastian Leineweber,screw speed [ita],device specification,Control variable that indicates how high the speed of the screw is during extrusion.
IAO_0000409,Alan Ruttenberg,denotator type,data about an ontology part,A denotator type indicates how a term should be interpreted from an ontological perspective.
BFO_0000017,,realizable entity,specifically dependent continuant,(Elucidation) A realizable entity is a specifically dependent continuant that inheres in some independent continuant which is not a spatial region & which is of a type some instances of which are realized in processes of a correlated type
IAO_0000300,,textual entity,information content entity,"A textual entity is a part of a manifestation (FRBR sense), a generically dependent continuant whose concretizations are patterns of glyphs intended to be interpreted as words, formulas, etc."
PMD_0020041,,portion of argon,portion of pure chemical element,A 'portion of argon' is a 'portion of pure chemical element' that 'consists of' only chebi:argon atom.
STATO_0000237,,standard deviation [ms],measurement datum,"The standard deviation of a random variable, statistical population, data set, or probability distribution is a measure of variation which correspond to the average distance from the mean of the data set to any given point of that dataset. It also corresponds to the square root of its variance."
DIGITRUBBER_000556,Alexander Aschemann,mixing [dik],planned process,
PMD_0020176,,plate,object,A plate is a thick rectangular object that may bear a semi finished product role. At the same time it may be a material.
PMD_0050014,,rigid polyvinyl chloride,polyvinyl chloride,polyvinyl chloride that is characterized by its stiffness and durability
PMD_0020088,,portion of tin,portion of pure chemical element,A 'portion of tin' is a 'portion of pure chemical element' that 'consists of' only chebi:tin atom.
PMD_0020135,,stimulation target role,test piece role,See 'Stimulus role'
CHEBI_33331,,yttrium atom,metal atom,
CHEBI_22563,,anion,ion,A monoatomic or polyatomic species having one or more elementary charges of the electron.
PMD_0040001,,length,size,Length is a one dimensional size.
CHEBI_49475,,argon atom,molecular entity,
PMD_0020052,,portion of yttrium,portion of pure chemical element,A 'portion of yttrium' is a 'portion of pure chemical element' that 'consists of' only chebi:yttrium atom.
DIGITRUBBER_000650,Yamen Alsalka,styrene-butadiene rubber SBR [ifnano],synthetic rubber [dik],Families of synthetic rubbers derived from styrene and butadiene.
PMD_0020151,,internal energy,energy,Internal energy is a universal extensive quality that specifies the bearers potential to do work.
DIGITRUBBER_000458,Alexander Aschemann,engine [dik],device,
DIGITRUBBER_1000023,,mechanical testing system [Arlanxeo],process,Generic name for an instrument that applies amplitude sweeps to vulcanized rubber to assess the resistance of its network against large deformations.
CHEBI_33833,,heteroarene,organic heterocyclic compound,"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."
CHEBI_33374,,samarium atom,lanthanoid atom,
CHEBI_33376,,terbium atom,lanthanoid atom,
PMD_0020053,,portion of zirconium,portion of pure chemical element,A 'portion of zirconium' is a 'portion of pure chemical element' that 'consists of' only chebi:zirconium atom.
DIGITRUBBER_000269,Yamen Alsalka,Mooney viscosity [ifnano],intensive quality,The viscosity of rubber using a standard test method and Mooney Viscometer.
IAO_0000310,,document,information content entity,A collection of information content entities intended to be understood together as a whole
DIGITRUBBER_000132,,supervisor [ncit],role,"An individual who is responsible for managing or operating a business, organization, team or department."
DIGITRUBBER_1000071,Pallavi Karanth,ingredient specification,material specification,"An ingredient specification is a material specification which is detailed, actionable document defining the quality, safety, and physical characteristics of a raw material"
PMD_0020114,,medium role,role,"Medium role is a role beared by an object which implies that the object serves as an intermediary for the transmission of something else, like energy, force, or information."
PMD_0050048,,kaolinite ceramic,aluminosilicate ceramic,"aluminosilicate ceramic based on the mineral kaolinite, valued for its fine particle size and plasticity"
PMD_0000896,,pressure,intensive quality,an intensive quality describing the force exerted per unit area in or on a material.
result#AFR_0000413,,peak [allotrope],information content entity,A peak describes a part of a data distribution function at a definite range of the experimental parameter (independent variable) of the distribution function. This definition includes a single data point of the distribution function. [Allotrope]
PMD_0000634,,workflow executor role,role,"A role that inheres in an agent and is realized by the agent’s participation in a workflow run, in which the agent carries out, controls, or is responsible for the execution of a workflow according to a workflow definition."
CHEBI_50803,,nanoparticle,nanostructure,A nanosized spherical or capsule-shaped structure.
PMD_0020112,,grain size distribution,intensive quality,An intensive quality describing the lower length scale object aggregate (grains) that is part of the material.
PMD_0000111,,superconducting,disposition,The disposition of a material to conduct electricity without electrical resistance or infinite electrical conductance respectively.
PMD_0020026,,portion of iron,portion of pure chemical element,A 'portion of iron' is a 'Poriton Of Pure Substance' that 'consists of' only chebi:iron atom.
PMD_0050060,,titania ceramic,oxide ceramic,"oxide ceramic composed of titanium dioxide, used for its photocatalytic and pigment properties"
IAO_0000101,person:Allyson,image,figure,"An image is an affine projection to a two dimensional surface, of measurements of some quality of an entity or entities repeated at regular intervals across a spatial range, where the measurements are represented as color and luminosity on the projected on surface."
CHEBI_59999,,chemical substance,portion of matter,"A chemical substance is a portion of matter of constant composition, composed of molecular entities of the same type or of different types."
CHEBI_33379,,erbium,lanthanoid atom,
PMD_0000777,,heat capacity,thermal property,The heat capacity is a thermal property describing the amount of heat energy required to raise the temperature of a material by a given amount.
PATO_0002182,,molecular quality,physical object quality [pato],"A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc."
PMD_0000953,,structural and chemical decay,evolution of damage,The structural and chemical decay is an evolution of damage describing the deterioration of a material's structure and composition over time due to environmental or operational conditions.
PMD_0001046,,depth,size,The distance from a reference surface or point to a specific point or feature along a perpendicular or defined direction.
PMD_0020087,,portion of bromine,portion of pure chemical element,A 'portion of bromine' is a 'portion of pure chemical element' that 'consists of' only chebi:bromine atom.
DIGITRUBBER_000048,Sebastian Leineweber,rubber [ita],polymer [chebi],Rubber is an elastic substance made either from the juice of particular tropical trees or artificially. It is raw material for car tires and other technical products.
BFO_0000020,,specifically dependent continuant,continuant,b is a specifically dependent continuant =Def b is a continuant & there is some independent continuant c which is not a spatial region & which is such that b specifically depends on c
DIGITRUBBER_1000017,,tread [Arlanxeo],surface [dik],The outer surface of a tire that comes into direct contact with the road.
PMD_0000551,,chemical composition,composition,"The chemical composition is an intensive quality of a portion of matter which describes the types and proportions of pure chemical elements in the portion of matter, and it is a subject of some chemical composition data item."
PMD_0020187,,copper alloy,alloy,non-ferrous metal consisting primarily of copper combined with other elements
CHEBI_30415,,astatine atom,nonmetal atom,
PMD_0000535,,boiling point,state of matter boundary,The boiling point is a state of matter boundary realized by transition form the liquid state to the gaseous state (or vice versa).
PMD_0020080,,portion of beryllium,portion of pure chemical element,A 'portion of beryllium' is a 'portion of pure chemical element' that 'consists of' only chebi:beryllium atom.
PMD_0000639,,ferrous metal,metal,metal that has iron as primary constituent
CHEBI_30514,,caesium atom,metal atom,
NCIT_C16237,,validation [ncit],process,The act of validating; finding or testing the truth of something.
DIGITRUBBER_000395,Alexander Aschemann,torque [dik],extensive quality,
DIGITRUBBER_000082,Sebastian Leineweber,twin screw extruder [ita],extruder,"Twin screw extruders have two screws, which have more shear and mixing capability than the single screw in a singel screw extruder. Depending on the direction of rotation of the screws, a distinction is made between counter-rotating and co-rotating twin-screw extruders."
DIGITRUBBER_000592,Alexander Aschemann,molecular weight distribution measurement assay [dik],assay,"An assay with the objective to produce information about the molecular weight distribution of the material entity that is the evaluant, by physically examining it or its proxies."
NCBITaxon_9606,,Homo sapiens,material entity,
PMD_0000961,,sublimation point,state of matter boundary,The sublimation point is a state of matter boundary realized by transition from the solid state to the gaseous state (or vice versa).
PMD_0050148,,borate-based bioactive glass,bioactive glass,borate glass that is formulated with borate compounds to promote biological interaction
DIGITRUBBER_000388,Alexander Aschemann,rotor temperature [dik],device specification,
OBI_0000070,PlanAndPlannedProcess Branch,assay,completely executed planned process,A planned process that has the objective to produce information about a material entity (the evaluant) by examining it.
OBI_0000070,PlanAndPlannedProcess Branch,assay,completely executed planned process,A planned process that has the objective to produce information about a material entity (the evaluant) by examining it.
PMD_0050046,,aluminosilicate ceramic,silicate ceramic,silicate ceramics that consist of aluminum and silicon oxides
PMD_0011032,,silicide ceramic,non-oxide ceramic,non-oxide ceramic consisting of a silicon and another element
PMD_0020192,,macrosection (metallography),metallographic section (surface),A macrosection (metallography) is a metallographic section (surface) that is produced directly on an object. The object may be cut in order to make accessible a section (fiat surface) of interest.
CHEBI_33380,,thulium atom,lanthanoid atom,
UO_1000076,,mole fraction based unit,unit,
PMD_0010022,,containing magnetic species,material property,"A material property that inheres in a material entity in virtue of the presence of one or more magnetic species (e.g. ferromagnetic, paramagnetic, or diamagnetic particles or atoms), and that manifests under appropriate conditions as the ability of that material entity to exhibit a magnetic response or influence in a magnetic field."
DIGITRUBBER_000571,Alexander Aschemann,oil content [dik],intensive quality,
PMD_0050090,,bismuth strontium calcium copper oxide ceramic,superconducting ceramic,"oxide ceramic that is superconducting and composed of bismuth, strontium, calcium, copper, and oxygen, featuring a layered crystal structure"
CHEBI_33302,,pnictogen molecular entity,p-block molecular entity,A p-block molecular entity containing any pnictogen.
CHEBI_33381,,ytterbium,lanthanoid atom,
PMD_0020044,,portion of tantalum,portion of pure chemical element,A 'portion of tantalum' is a 'portion of pure chemical element' that 'consists of' only chebi:tantalum atom.
PMD_0000117,,structural composite,composite,"composite of material that is multi-layered and normally low-density, engineered for applications requiring structural integrity through high tensile, compressive, and torsional strengths and stiffnesses"
PMD_0090001,,semiconductivity,material property,"Semiconductivity is the disposition of a material to conduct electricity only when a certain level of excitation (via temperature, impurities, photonic excitation, electric field) elevates electrons from the valence band into the conduction band."
CHEBI_30430,,indium atom,metal atom,A metallic element first identified and named from the brilliant indigo (Latin <em>indicum</em>) blue line in its flame spectrum.
CHEBI_18291,,manganese atom,metal atom,
PMD_0020084,,portion of osmium,portion of pure chemical element,A 'portion of osmium' is a 'portion of pure chemical element' that 'consists of' only chebi:osmium atom.
PMD_0000834,,map,2D,"A map is a 2D information content entity describing a representation of spatial data or relationships, often used in material science for visualizing properties or distributions."
DIGITRUBBER_000437,Alexander Aschemann,conveyor belt [dik],device,
PMD_0001998,,cutting device,,"A device designed to cut, slice, divide, or sever objects."
PMD_0050114,,phosphate glass,non-silicate glass,non‑silicate glass based primarily on phosphorus pentoxide (P₂O₅)
PMD_0000002,,engineered material,material,An engineered material is a material that is output of a manufacturing process.
